latitude;longitude;altitude;geometry;categoria;localidad;direccion;cod_locali;grupo_sac;sac;codigo_sac;gestor;cord_x;cord_y
4.811.576;-740.300.776;;Point;Vertimientos aguas residuales domesticas;USAQUÉN;CL 237 CRA 7;1;Estructura ecológica principal y espacios del agua;Contaminación Hídrica;EH003;SERGIO SANTOS;105.264.938.048;123.824.029.456
4.769.706;-74.027.027;;Point;Vertimientos aguas residuales domesticas;USAQUÉN;CL 193 ENTRE CRA 7 Y 9;1;Estructura ecológica principal y espacios del agua;Contaminación Hídrica;EH003;SERGIO SANTOS;10.560.428.377;119.192.157.623
4.769.717;-7.402.702;;Point;Disposición ilegal de Residuos de Construcción y Demolición;USAQUÉN;CL 193 KRA 7;1;Contaminación;Manejo inadecuado de residuos sólidos;CR002;SERGIO SANTOS;105.605.060.427;119.193.374.648
4.779.562;-74.041.588;;Point;Acumulación de residuos orgánicos e inorgánicos en cuerpo de agua;USAQUÉN;CL 200 CON AUNTONORTE;1;Estructura ecológica principal y espacios del agua;Contaminación Hídrica;EH001;SERGIO SANTOS;103.988.121.367;12.028.222.774
4.791.964;-7.402.893;;Point;Deficiencias en la prestación del servicio de aseo;USAQUÉN;CRA 7 #212-39;1;Contaminación;Manejo inadecuado de residuos sólidos;CR001;SERGIO SANTOS;105.392.665.215;121.654.444.384
4.805.054;-74.029.849;;Point;Deficiencias en la prestación del servicio de aseo;USAQUÉN;CRA 7 #222-99;1;Contaminación;Manejo inadecuado de residuos sólidos;CR001;SERGIO SANTOS;105.290.430.019;123.102.527.645
4.789.079;-74.028.335;;Point;Actividades extractivas;USAQUÉN;CL 200 CON CRA 7;1;Minería SAC;Minería;MM001;SERGIO SANTOS;105.458.751.875;121.335.298.388
4.817.292;-74.035.202;;Point;Ruido por música estridente;USAQUÉN;CL 242# 48;1;Contaminación;Contaminación por ruido;CR002;SERGIO SANTOS;104.696.157.789;124.456.275.754
4.758.717;-7.402.573;;Point;Vertimientos aguas residuales domesticas;USAQUÉN;CL 182 CR 7;1;Estructura ecológica principal y espacios del agua;Contaminación Hídrica;EH003;SERGIO SANTOS;105.748.439.308;117.976.509.325
4.758.602;-74.037.065;;Point;Vertimientos aguas residuales domesticas;USAQUÉN;CL 181 CR 15;1;Estructura ecológica principal y espacios del agua;Contaminación Hídrica;EH003;SERGIO SANTOS;104.490.450.238;117.963.577.474
4.766.449;-740.365.442;;Point;Vectores;USAQUÉN;CL 190 CRA 15;1;Fauna;Presencia de vectores;FV001;SERGIO SANTOS;104.548.111.696;118.831.671.581
4.758.717;-7.402.573;;Point;Vertimientos aguas residuales domesticas;USAQUÉN;CL 182 CRA 7;1;Estructura ecológica principal y espacios del agua;Contaminación Hídrica;EH003;SERGIO SANTOS;105.748.439.308;117.976.509.325
4.760.359;-74.025.461;;Point;Vertimientos aguas residuales domesticas;USAQUÉN;CL 183 CRA 6;1;Estructura ecológica principal y espacios del agua;Contaminación Hídrica;EH003;SERGIO SANTOS;105.778.261.848;118.158.163.066
4.762.647;-74.027.199;;Point;Disposición inadecuada de residuos sólidos;USAQUÉN;CL 186 CRA 7;1;Contaminación;Manejo inadecuado de residuos sólidos;CR004;SERGIO SANTOS;105.585.330.221;118.411.242.616
4.767.217;-74.028.165;;Point;Tenencia inadecuada de animales de compañía;USAQUÉN;CL 191 CRA 8;1;Fauna;Fauna doméstica y animales de compañía;FD001;SERGIO SANTOS;105.478.034.538;118.916.786.716
4.761.984;-74.026.171;;Point;Tenencia inadecuada de animales de compañía;USAQUÉN;CL 183 CRA 5;1;Fauna;Fauna doméstica y animales de compañía;FD001;SERGIO SANTOS;105.699.432.805;118.337.917.149
4.762.844;-74.026.673;;Point;Tenencia inadecuada de animales de compañía;USAQUÉN;CL 184 CRA 5;1;Fauna;Fauna doméstica y animales de compañía;FD001;SERGIO SANTOS;105.643.703.114;118.433.046.136
4.763.882;-74.027.153;;Point;Tenencia inadecuada de animales de compañía;USAQUÉN;CL 185 CRA 5;1;Fauna;Fauna doméstica y animales de compañía;FD001;SERGIO SANTOS;105.590.411.756;118.547.867.082
4.763.796;-74.026.665;;Point;Tenencia inadecuada de animales de compañía;USAQUÉN;CL 187 CRA 5;1;Fauna;Fauna doméstica y animales de compañía;FD001;SERGIO SANTOS;105.644.572.666;118.538.362.608
476.536;-7.402.701;;Point;Tenencia inadecuada de animales de compañía;USAQUÉN;CL 190 CRA 5;1;Fauna;Fauna doméstica y animales de compañía;FD001;SERGIO SANTOS;105.606.253.849;118.711.375.631
4.766.999;-74.026.448;;Point;Tenencia inadecuada de animales de compañía;USAQUÉN;CL 193 CRA 5;1;Fauna;Fauna doméstica y animales de compañía;FD001;SERGIO SANTOS;105.668.594.055;118.892.703.132
4.762.647;-74.027.199;;Point;Disposición inadecuada de residuos sólidos;USAQUÉN;CL 186 CRA 7;1;Contaminación;Manejo inadecuado de residuos sólidos;CR004;SERGIO SANTOS;105.585.330.221;118.411.242.616
4.763.796;-74.026.665;;Point;Tenencia inadecuada de animales de compañía;USAQUÉN;CL 183 CRA 5;1;Fauna;Fauna doméstica y animales de compañía;FD001;SERGIO SANTOS;105.644.572.666;118.538.362.608
4.761.012;-74.022.161;;Point;Disposición ilegal de Residuos de Construcción y Demolición;USAQUÉN;CL 184 CRA 1;1;Contaminación;Manejo inadecuado de residuos sólidos;CR002;SERGIO SANTOS;106.144.491.604;118.230.467.234
4.760.779;-74.022.958;;Point;Disposición ilegal de Residuos de Construcción y Demolición;USAQUÉN;CL 184 CRA 2;1;Contaminación;Manejo inadecuado de residuos sólidos;CR002;SERGIO SANTOS;10.605.604.312;118.204.675.392
476.439;-7.403.497;;Point;Ruido por perifoneo y emisiones sonoras;USAQUÉN;CL 187 CRA 15;1;Contaminación;Contaminación por ruido;CR003;SERGIO SANTOS;104.722.855.853;118.603.919.991
4.763.337;-7.404.214;;Point;Ruido por perifoneo y emisiones sonoras;USAQUÉN;CL 187 CRA 20;1;Contaminación;Contaminación por ruido;CR003;SERGIO SANTOS;103.927.132.862;118.487.305.842
4.758.532;-74.036.532;;Point;Vertimientos aguas residuales domesticas;USAQUÉN;CL 181 CRA 11;1;Estructura ecológica principal y espacios del agua;Contaminación Hídrica;EH003;SERGIO SANTOS;104.549.605.353;117.955.843.034
4.739.687;-74.037.216;;Point;Vertimientos aguas residuales domesticas;USAQUÉN;CL 161 CRA 15;1;Estructura ecológica principal y espacios del agua;Contaminación Hídrica;EH003;SERGIO SANTOS;10.447.402.254;115.871.078.382
4.748.911;-74.037.505;;Point;Acumulación de residuos orgánicos e inorgánicos en cuerpo de agua;USAQUÉN;CL 170 CRA 15;1;Estructura ecológica principal y espacios del agua;Contaminación Hídrica;EH001;SERGIO SANTOS;104.441.786.925;116.891.490.154
4.744.982;-74.036.924;;Point;Disposición inadecuada de residuos sólidos;USAQUÉN;CL 166 CRA 15;1;Contaminación;Manejo inadecuado de residuos sólidos;CR004;SERGIO SANTOS;104.506.337.732;116.456.849.641
474.893;-74.043.454;;Point;Vectores;USAQUÉN;CL 169 CRA 20;1;Fauna;Presencia de vectores;FV001;SERGIO SANTOS;103.781.540.251;11.689.349.082
4.741.133;-74.033.653;;Point;Disposición inadecuada de residuos sólidos;USAQUÉN;CL 163A CRA 13B;1;Contaminación;Manejo inadecuado de residuos sólidos;CR004;SERGIO SANTOS;104.869.439.312;11.603.110.738
4.741.133;-74.033.653;;Point;Afectación por presencia de antenas de telecomunicaciones;USAQUÉN;CL 163A CRA 13B;1;Contaminación;Contaminación electromagnética;CE002;SERGIO SANTOS;104.869.439.312;11.603.110.738
4.741.133;-74.033.653;;Point;Emisión de material particulado;USAQUÉN;CL 163A CRA 13B;1;Contaminación;Contaminación del aire;CA002;SERGIO SANTOS;104.869.439.312;11.603.110.738
4.736.874;-74.027.271;;Point;Saturación paisajística por publicidad exterior visual;USAQUÉN;CL 161 CRA 8;1;Contaminación;Contaminación visual;CV001;SERGIO SANTOS;105.577.831.162;115.560.068.612
4.734.988;-74.039.153;;Point;Acumulación de residuos orgánicos e inorgánicos en cuerpo de agua;USAQUÉN;CL 153 CRA 15;1;Estructura ecológica principal y espacios del agua;Contaminación Hídrica;EH001;SERGIO SANTOS;104.259.123.339;115.351.212.006
4.738.496;-74.023.312;;Point;Ruido por perifoneo y emisiones sonoras;USAQUÉN;CL 162 CRA 7;1;Contaminación;Contaminación por ruido;CR003;SERGIO SANTOS;106.017.194.461;115.739.581.315
4.737.968;-74.020.265;;Point;Acumulación de residuos orgánicos e inorgánicos en cuerpo de agua;USAQUÉN;CL 163 CRA 1;1;Estructura ecológica principal y espacios del agua;Contaminación Hídrica;EH001;SERGIO SANTOS;106.355.379.938;115.681.231.464
4.737.796;-7.402.094;;Point;Acumulación de residuos orgánicos e inorgánicos en cuerpo de agua;USAQUÉN;CL 163 CRA 4;1;Estructura ecológica principal y espacios del agua;Contaminación Hídrica;EH001;SERGIO SANTOS;106.280.467.665;115.662.190.129
4.737.618;-74.021.525;;Point;Acumulación de residuos orgánicos e inorgánicos en cuerpo de agua;USAQUÉN;CL 163B CRA 5;1;Estructura ecológica principal y espacios del agua;Contaminación Hídrica;EH001;SERGIO SANTOS;106.215.544.243;11.564.248.691
4.733.302;-74.031.893;;Point;Disposición inadecuada de residuos sólidos;USAQUÉN;CL 155 CRA 9;1;Contaminación;Manejo inadecuado de residuos sólidos;CR004;SERGIO SANTOS;105.064.917.366;115.164.825.051
4.730.288;-74.030.524;;Point;Tenencia inadecuada de animales de compañía;USAQUÉN;CL 153 CRA8;1;Fauna;Fauna doméstica y animales de compañía;FD001;SERGIO SANTOS;105.216.914.224;114.831.422.727
463.993.903.800.002;-74.054.756.481;;Point;Acumulación de residuos orgánicos e inorgánicos en cuerpo de agua;CHAPINERO;Tv. 5 Este # 58-16;2;Estructura ecológica principal y espacios del agua;Contaminación Hídrica;EH001;ÁNYELA MARÍA GONZÁLEZ RICO;10.252.872.289;104.836.072.772
463.993.903.800.002;-74.054.756.481;;Point;Ocupación por habitante de calle y cambuches;CHAPINERO;Tv. 5 Este # 58-16;2;Estructura ecológica principal y espacios del agua;Invasión EEP;EI003;ÁNYELA MARÍA GONZÁLEZ RICO;10.252.872.289;104.836.072.772
463.993.903.800.002;-74.054.756.481;;Point;Vertimientos aguas residuales domesticas;CHAPINERO;Tv. 5 Este # 58-16;2;Estructura ecológica principal y espacios del agua;Contaminación Hídrica;EH003;ÁNYELA MARÍA GONZÁLEZ RICO;10.252.872.289;104.836.072.772
464.976.258.500.008;-740.632.565.459.999;;Point;Ruido por música estridente;CHAPINERO;Cra. 13 # 63-2;2;Contaminación;Contaminación por ruido;CR002;ÁNYELA MARÍA GONZÁLEZ RICO;101.585.074.177;105.922.694.725
464.976.258.500.008;-740.632.565.459.999;;Point;Disposición inadecuada de residuos sólidos;CHAPINERO;Cra. 13 # 63-2;2;Contaminación;Manejo inadecuado de residuos sólidos;CR004;ÁNYELA MARÍA GONZÁLEZ RICO;101.585.074.177;105.922.694.725
464.976.258.500.008;-740.632.565.459.999;;Point;Vectores;CHAPINERO;Cra. 13 # 63-2;2;Fauna;Presencia de vectores;FV001;ÁNYELA MARÍA GONZÁLEZ RICO;101.585.074.177;105.922.694.725
465.896.064.900.005;-740.600.600.559.999;;Point;Vectores;CHAPINERO;Cra. 13 # 72-20;2;Fauna;Presencia de vectores;FV001;ÁNYELA MARÍA GONZÁLEZ RICO;101.939.760.029;106.940.281.708
465.896.064.900.005;-740.600.600.559.999;;Point;Disposición inadecuada de residuos sólidos;CHAPINERO;Cra. 13 # 72-20;2;Contaminación;Manejo inadecuado de residuos sólidos;CR004;ÁNYELA MARÍA GONZÁLEZ RICO;101.939.760.029;106.940.281.708
466.673.727.300.002;-7.402.165.449;;Point;Acumulación de residuos orgánicos e inorgánicos en cuerpo de agua;CHAPINERO;Cra. 9 Este # 95a50;2;Estructura ecológica principal y espacios del agua;Contaminación Hídrica;EH001;ÁNYELA MARÍA GONZÁLEZ RICO;106.202.574.279;107.801.218.144
466.673.727.300.002;-7.402.165.449;;Point;Ocupación por habitante de calle y cambuches;CHAPINERO;Cra. 9 Este # 95a50;2;Estructura ecológica principal y espacios del agua;Invasión EEP;EI003;ÁNYELA MARÍA GONZÁLEZ RICO;106.202.574.279;107.801.218.144
466.673.727.300.002;-7.402.165.449;;Point;Desbordamientos de canales y quebradas;CHAPINERO;Cra. 9 Este # 95a50;2;Gestión de riesgos;Inundaciones;GIN003;ÁNYELA MARÍA GONZÁLEZ RICO;106.202.574.279;107.801.218.144
465.454.721.000.003;-74.049.803.144;;Point;Tenencia inadecuada de animales de compañía;CHAPINERO;Cra. 1 # 73 - 42;2;Fauna;Fauna doméstica y animales de compañía;FD001;ÁNYELA MARÍA GONZÁLEZ RICO;103.078.330.102;106.452.188.607
466.307.394.900.002;-74.021.422.523;;Point;;CHAPINERO;Tv. 11a E # 95 – 98;2;Fauna;Manejo de animales relacionados con actividades productivas;FM001;ÁNYELA MARÍA GONZÁLEZ RICO;106.228.394.025;107.395.963.488
466.307.394.900.002;-74.021.422.523;;Point;Areas que requieren de restauración ecológica;CHAPINERO;Tv. 11a E # 95 – 98;2;Estructura ecológica principal y espacios del agua;Mantenimiento silvicultural;ES001;ÁNYELA MARÍA GONZÁLEZ RICO;106.228.394.025;107.395.963.488
466.307.394.900.002;-74.021.422.523;;Point;Cortes ilegales de arboles;CHAPINERO;Tv. 11a E # 95 – 98;2;Estructura ecológica principal y espacios del agua;Mantenimiento silvicultural;ES002;ÁNYELA MARÍA GONZÁLEZ RICO;106.228.394.025;107.395.963.488
466.307.394.900.002;-74.021.422.523;;Point;Especies vegetales invasoras;CHAPINERO;Tv. 11a E # 95 – 98;2;Estructura ecológica principal y espacios del agua;Mantenimiento silvicultural;ES004;ÁNYELA MARÍA GONZÁLEZ RICO;106.228.394.025;107.395.963.488
463.993.903.800.002;-74.054.756.481;;Point;Acumulación de residuos orgánicos e inorgánicos en cuerpo de agua;CHAPINERO;Tv. 5 Este # 58-16;2;Estructura ecológica principal y espacios del agua;Contaminación Hídrica;EH001;ÁNYELA MARÍA GONZÁLEZ RICO;10.252.872.289;104.836.072.772
463.993.903.800.002;-74.054.756.481;;Point;Ocupación por habitante de calle y cambuches;CHAPINERO;Tv. 5 Este # 58-16;2;Estructura ecológica principal y espacios del agua;Invasión EEP;EI003;ÁNYELA MARÍA GONZÁLEZ RICO;10.252.872.289;104.836.072.772
463.993.903.800.002;-74.054.756.481;;Point;Vertimientos aguas residuales domesticas;CHAPINERO;Tv. 5 Este # 58-16;2;Estructura ecológica principal y espacios del agua;Contaminación Hídrica;EH003;ÁNYELA MARÍA GONZÁLEZ RICO;10.252.872.289;104.836.072.772
464.976.258.500.008;-740.632.565.459.999;;Point;Ruido por música estridente;CHAPINERO;Cra. 13 # 63-2;2;Contaminación;Contaminación por ruido;CR002;ÁNYELA MARÍA GONZÁLEZ RICO;101.585.074.177;105.922.694.725
464.976.258.500.008;-740.632.565.459.999;;Point;Disposición inadecuada de residuos sólidos;CHAPINERO;Cra. 13 # 63-2;2;Contaminación;Manejo inadecuado de residuos sólidos;CR004;ÁNYELA MARÍA GONZÁLEZ RICO;101.585.074.177;105.922.694.725
464.976.258.500.008;-740.632.565.459.999;;Point;Vectores;CHAPINERO;Cra. 13 # 63-2;2;Fauna;Presencia de vectores;FV001;ÁNYELA MARÍA GONZÁLEZ RICO;101.585.074.177;105.922.694.725
465.896.064.900.005;-740.600.600.559.999;;Point;Vectores;CHAPINERO;Cra. 13 # 72-20;2;Fauna;Presencia de vectores;FV001;ÁNYELA MARÍA GONZÁLEZ RICO;101.939.760.029;106.940.281.708
465.896.064.900.005;-740.600.600.559.999;;Point;Disposición inadecuada de residuos sólidos;CHAPINERO;Cra. 13 # 72-20;2;Contaminación;Manejo inadecuado de residuos sólidos;CR004;ÁNYELA MARÍA GONZÁLEZ RICO;101.939.760.029;106.940.281.708
466.673.727.300.002;-7.402.165.449;;Point;Acumulación de residuos orgánicos e inorgánicos en cuerpo de agua;CHAPINERO;Cra. 9 Este # 95a50;2;Estructura ecológica principal y espacios del agua;Contaminación Hídrica;EH001;ÁNYELA MARÍA GONZÁLEZ RICO;106.202.574.279;107.801.218.144
466.673.727.300.002;-7.402.165.449;;Point;Ocupación por habitante de calle y cambuches;CHAPINERO;Cra. 9 Este # 95a50;2;Estructura ecológica principal y espacios del agua;Invasión EEP;EI003;ÁNYELA MARÍA GONZÁLEZ RICO;106.202.574.279;107.801.218.144
466.673.727.300.002;-7.402.165.449;;Point;Desbordamientos de canales y quebradas;CHAPINERO;Cra. 9 Este # 95a50;2;Gestión de riesgos;Inundaciones;GIN003;ÁNYELA MARÍA GONZÁLEZ RICO;106.202.574.279;107.801.218.144
465.454.721.000.003;-74.049.803.144;;Point;Tenencia inadecuada de animales de compañía;CHAPINERO;Cra. 1 # 73 - 42;2;Fauna;Fauna doméstica y animales de compañía;FD001;ÁNYELA MARÍA GONZÁLEZ RICO;103.078.330.102;106.452.188.607
466.307.394.900.002;-74.021.422.523;;Point;;CHAPINERO;Tv. 11a E # 95 – 98;2;Fauna;Manejo de animales relacionados con actividades productivas;FM001;ÁNYELA MARÍA GONZÁLEZ RICO;106.228.394.025;107.395.963.488
466.307.394.900.002;-74.021.422.523;;Point;Areas que requieren de restauración ecológica;CHAPINERO;Tv. 11a E # 95 – 98;2;Estructura ecológica principal y espacios del agua;Mantenimiento silvicultural;ES001;ÁNYELA MARÍA GONZÁLEZ RICO;106.228.394.025;107.395.963.488
466.307.394.900.002;-74.021.422.523;;Point;Cortes ilegales de arboles;CHAPINERO;Tv. 11a E # 95 – 98;2;Estructura ecológica principal y espacios del agua;Mantenimiento silvicultural;ES002;ÁNYELA MARÍA GONZÁLEZ RICO;106.228.394.025;107.395.963.488
466.307.394.900.002;-74.021.422.523;;Point;Especies vegetales invasoras;CHAPINERO;Tv. 11a E # 95 – 98;2;Estructura ecológica principal y espacios del agua;Mantenimiento silvicultural;ES004;ÁNYELA MARÍA GONZÁLEZ RICO;106.228.394.025;107.395.963.488
466.307.394.900.002;-74.021.422.523;;Point;Quemas ilegales;CHAPINERO;Tv. 11a E # 95 – 98;2;Contaminación;Contaminación del aire;CA005;ÁNYELA MARÍA GONZÁLEZ RICO;106.228.394.025;107.395.963.488
464.381.149.500.002;-74.055.673.572;;Point;Disposición inadecuada de residuos sólidos;CHAPINERO;Cll 62 Kr 1 a 3;2;Contaminación;Manejo inadecuado de residuos sólidos;CR004;ANYELA MARIA GONZALEZ RICO;102.426.869.284;105.264.453.743
465.079.064.200.006;-740.622.439.269.999;;Point;Disposición inadecuada de residuos sólidos;CHAPINERO;Cra. 11 #64-50;2;Contaminación;Manejo inadecuado de residuos sólidos;CR004;ANYELA MARIA GONZALEZ RICO;101.697.461.317;106.036.437.806
464.691.816.000.004;-74.064.268.502;;Point;Disposición inadecuada de residuos sólidos;CHAPINERO;Cl. 60 #13-69;2;Contaminación;Manejo inadecuado de residuos sólidos;CR004;ANYELA MARIA GONZALEZ RICO;101.472.783.706;105.608.014.516
465.866.986.600.003;-74.060.265.121;;Point;Disposición inadecuada de residuos sólidos;CHAPINERO;Cra. 13 # 72-20;2;Contaminación;Manejo inadecuado de residuos sólidos;CR004;ANYELA MARIA GONZALEZ RICO;101.917.001.992;106.908.110.737
467.910.798.600.008;-74.058.553.801;;Point;Disposición inadecuada de residuos sólidos;CHAPINERO;cra 45 # 93-15;2;Contaminación;Manejo inadecuado de residuos sólidos;CR004;ANYELA MARIA GONZALEZ RICO;102.106.673.436;10.916.912.117
464.893.942.700.007;-74.064.565.682;;Point;Disposición inadecuada de residuos sólidos;CHAPINERO;Av. Caracas #61A-18;2;Contaminación;Manejo inadecuado de residuos sólidos;CR004;ANYELA MARIA GONZALEZ RICO;101.439.770.542;105.831.615.114
464.844.529.200.008;-74.062.138.616;;Point;Disposición inadecuada de residuos sólidos;CHAPINERO;Cl. 62 #9A-05;2;Contaminación;Manejo inadecuado de residuos sólidos;CR004;ANYELA MARIA GONZALEZ RICO;101.709.181.864;105.776.982.708
464.145.715.700.005;-74.053.743.345;;Point;Disposición inadecuada de residuos sólidos;CHAPINERO;Tv 4 a bis este # 61 - 53;2;Contaminación;Manejo inadecuado de residuos sólidos;CR004;ANYELA MARIA GONZALEZ RICO;102.641.160.602;105.004.030.771
464.771.661.900.005;-74.054.013.193;;Point;Disposición inadecuada de residuos sólidos;CHAPINERO;Cra. 1 Bis #65C-45;2;Contaminación;Manejo inadecuado de residuos sólidos;CR004;ANYELA MARIA GONZALEZ RICO;102.611.116.467;105.696.485.537
463.308.636.900.007;-74.066.454.471;;Point;Disposición inadecuada de residuos sólidos;CHAPINERO;Cl. 46 #13-9;2;Contaminación;Manejo inadecuado de residuos sólidos;CR004;ANYELA MARIA GONZALEZ RICO;101.230.313.206;104.077.832.847
462.879.567.900.006;-74.067.877.653;;Point;Disposición inadecuada de residuos sólidos;CHAPINERO;Cl. 40C #13-59;2;Contaminación;Manejo inadecuado de residuos sólidos;CR004;ANYELA MARIA GONZALEZ RICO;101.072.388.884;10.360.315.395
463.178.010.000.007;-74.060.853.274;;Point;Disposición inadecuada de residuos sólidos;CHAPINERO;Cl. 45b Bis #1a-83;2;Contaminación;Manejo inadecuado de residuos sólidos;CR004;ANYELA MARIA GONZALEZ RICO;101.852.078.269;103.933.398.438
467.283.653.700.002;-74.022.229.253;;Point;Disposición inadecuada de residuos sólidos;CHAPINERO;Cra. 4 Este #100b-2;2;Contaminación;Manejo inadecuado de residuos sólidos;CR004;ANYELA MARIA GONZALEZ RICO;106.138.657.835;108.475.944.601
466.472.350.100.003;-74.060.628.798;;Point;Disposición inadecuada de residuos sólidos;CHAPINERO;Autopista Nte. #76-27;2;Contaminación;Manejo inadecuado de residuos sólidos;CR004;ANYELA MARIA GONZALEZ RICO;101.876.552.655;10.757.779.492
464.380.854.800.004;-74.063.598.447;;Point;Disposición inadecuada de residuos sólidos;CHAPINERO;Cl. 57 #9-2;2;Contaminación;Manejo inadecuado de residuos sólidos;CR004;ANYELA MARIA GONZALEZ RICO;101.547.200.429;105.264.019.585
468.153.522.300.003;-74.047.755.076;;Point;Disposición inadecuada de residuos sólidos;CHAPINERO;Cl. 97 #13-55;2;Contaminación;Manejo inadecuado de residuos sólidos;CR004;ANYELA MARIA GONZALEZ RICO;10.330.524.512;10.943.779.624
465.877.589.600.007;-740.602.281.879.999;;Point;Disposición inadecuada de residuos sólidos;CHAPINERO;Cra. 13 # 72-20;2;Contaminación;Manejo inadecuado de residuos sólidos;CR004;ANYELA MARIA GONZALEZ RICO;101.921.100.049;106.919.840.912
458.704.390.000.003;-740.777.871;;Point;Tenencia inadecuada de animales de compañía;SANTA FE;Cra 4 # 1 F - 24;3;Fauna;Fauna doméstica y animales de compañía;FD001;JEAN PAUL TOLOSA;999.728.532.699;989.842.185.882
458.822;-740.775.725;;Point;Disposición ilegal de Residuos de Construcción y Demolición;SANTA FE;Cll 2 A # 4 - 12;3;Contaminación;Manejo inadecuado de residuos sólidos;CR002;JEAN PAUL TOLOSA;999.966.634.271;991.143.277.302
458.822.690.000.005;-740.662.875;;Point;Desbordamientos de canales y quebradas;SANTA FE;Cra 7 Este # 6 - 19;3;Gestión de riesgos;Inundaciones;GIN003;JEAN PAUL TOLOSA;101.249.406.511;99.115.221.633
458.822;-740.775.725;;Point;Disposición inadecuada de residuos sólidos;SANTA FE;Cll 2 A # 4 - 12;3;Contaminación;Manejo inadecuado de residuos sólidos;CR004;JEAN PAUL TOLOSA;999.966.634.271;991.143.277.302
458.822;-740.775.725;;Point;Tenencia inadecuada de animales de compañía;SANTA FE;Cll 2 A # 4 - 12;3;Fauna;Fauna doméstica y animales de compañía;FD001;JEAN PAUL TOLOSA;999.966.634.271;991.143.277.302
458.822;-740.775.725;;Point;Vectores;SANTA FE;Cll 2 A # 4 - 12;3;Fauna;Presencia de vectores;FV001;JEAN PAUL TOLOSA;999.966.634.271;991.143.277.302
4.595.351;-7.406.386;;Point;Disposición inadecuada de residuos sólidos;SANTA FE;Via Choachí;3;Contaminación;Manejo inadecuado de residuos sólidos;CR004;JEAN PAUL TOLOSA;101.518.791.217;999.033.609.784
458.704.380.000.006;-74.047.891;;Point;Disposición inadecuada de residuos sólidos;SANTA FE;Via Choachí;3;Contaminación;Manejo inadecuado de residuos sólidos;CR004;JEAN PAUL TOLOSA;103.291.613.117;989.845.954.956
459.447.820.000.003;-740.324.902;;Point;Disposición inadecuada de residuos sólidos;SANTA FE;km 11 Vía Choachí;3;Contaminación;Manejo inadecuado de residuos sólidos;CR004;JEAN PAUL TOLOSA;105.001.122.734;998.072.859.839
4.585.558;-7.406.308;;Point;Cortes ilegales de arboles;SANTA FE;Via Choachí;3;Estructura ecológica principal y espacios del agua;Mantenimiento silvicultural;ES002;JEAN PAUL TOLOSA;101.605.504.227;988.200.134.077
458.898.530.000.005;-740.715.599;;Point;Vectores;SANTA FE;Cra 3 Este # 3 B - 74;3;Fauna;Presencia de vectores;FV001;JEAN PAUL TOLOSA;10.066.411.075;991.990.566.876
458.898.530.000.005;-740.715.599;;Point;Disposición inadecuada de residuos sólidos;SANTA FE;Cra 3 Este # 3 B - 74;3;Contaminación;Manejo inadecuado de residuos sólidos;CR004;JEAN PAUL TOLOSA;10.066.411.075;991.990.566.876
458.818.060.000.004;-740.811.867;;Point;Disposición inadecuada de residuos especiales y/o peligrosos;SANTA FE;Cll 1 D # 7-03;3;Contaminación;Manejo inadecuado de residuos sólidos;CR003;JEAN PAUL TOLOSA;995.954.530.471;991.099.314.299
458.898.530.000.005;-740.715.599;;Point;Tenencia inadecuada de animales de compañía;SANTA FE;Cra 3 Este # 3 B - 74;3;Fauna;Fauna doméstica y animales de compañía;FD001;JEAN PAUL TOLOSA;10.066.411.075;991.990.566.876
458.820.430.000.003;-740.798.781;;Point;Disposición ilegal de Residuos de Construcción y Demolición;SANTA FE;Cra 6 # 1D - 81;3;Contaminación;Manejo inadecuado de residuos sólidos;CR002;JEAN PAUL TOLOSA;997.407.199.272;99.112.566.656
458.742.590.000.003;-740.802.519;;Point;Disposición ilegal de Residuos de Construcción y Demolición;SANTA FE;Cra 6 # 1 - 30;3;Contaminación;Manejo inadecuado de residuos sólidos;CR002;JEAN PAUL TOLOSA;996.992.325.256;990.264.517.846
458.803.250.000.005;-740.711.052.999.999;;Point;Disposición inadecuada de residuos sólidos;SANTA FE;Cra 3 Este # 2 D - 94;3;Contaminación;Manejo inadecuado de residuos sólidos;CR004;JEAN PAUL TOLOSA;100.714.586.763;990.936.578.351
458.486.730.000.004;-740.750.826.999.999;;Point;Colmatación;SANTA FE;Cra 1 # 1 D - 07;3;Estructura ecológica principal y espacios del agua;Invasión EEP;EI001;JEAN PAUL TOLOSA;100.273.092.081;987.434.601.518
458.486.730.000.004;-740.750.826.999.999;;Point;Acumulación de residuos orgánicos e inorgánicos en cuerpo de agua;SANTA FE;Cra 1 # 1 D - 07;3;Estructura ecológica principal y espacios del agua;Contaminación Hídrica;EH001;JEAN PAUL TOLOSA;100.273.092.081;987.434.601.518
458.486.730.000.004;-740.750.826.999.999;;Point;Disposición ilegal de Residuos de Construcción y Demolición;SANTA FE;Cra 1 # 1 D - 07;3;Contaminación;Manejo inadecuado de residuos sólidos;CR002;JEAN PAUL TOLOSA;100.273.092.081;987.434.601.518
458.486.730.000.004;-740.750.826.999.999;;Point;Tenencia inadecuada de animales de compañía;SANTA FE;Cra 1 # 1 D - 07;3;Fauna;Fauna doméstica y animales de compañía;FD001;JEAN PAUL TOLOSA;100.273.092.081;987.434.601.518
